,0x0,0x4,0x8
3DC04+0x0,081C5F10,081C6B94,081C6DDC
3DC04+0xC,081C6FDC,081C7A7C,081C7C18
3DC04+0x18,081C7E18,081C87E4,081C8994
3DC04+0x24,081C8B94,081C93EC,081C955C
3DC04+0x30,081C975C,081CA130,081CA2EC
3DC04+0x3C,081CA4EC,081CAF0C,081CB0C4
3DC04+0x48,081CB2C4,081CBB74,081CBCB0
3DC04+0x54,081CBEB0,081CCA44,081CCC40
3DC04+0x60,081CCE40,081CD738,081CD88C
3DC04+0x6C,081CDA8C,081CE384,081CE520
3DC04+0x78,081CE720,081CF104,081CF298
3DC04+0x84,081CF498,081CFD0C,081CFE40
3DC04+0x90,081D0040,081D0C34,081D0E40
3DC04+0x9C,081D1040,081D1824,081D1960
3DC04+0xA8,081D1B60,081D2688,081D2888
3DC04+0xB4,081D2A88,081D3460,081D3608
