,0x0,0x4,0x8,0xC
302E8+0x0,00000000,082332E8,00000000,00000000
302E8+0x10,00000000,082332E8,00000000,00000000
302E8+0x20,082332E8,082334E8,00000F02,082343EC
302E8+0x30,08234624,08234824,000013D4,08235BF8
302E8+0x40,082438E0,08243AE0,000013F3,08244ED4
302E8+0x50,00000000,08235E78,00000000,00000000
302E8+0x60,08235E78,08236078,0000185D,082378D8
302E8+0x70,08237BD0,08237DD0,00001335,08239108
302E8+0x80,08239330,08239530,00001237,0823A768
302E8+0x90,0823A9EC,0823ABEC,00001245,0823BE34
302E8+0xA0,00000000,0823C0D0,00000000,00000000
302E8+0xB0,00000000,0823C0D0,00000000,00000000
302E8+0xC0,0823C0D0,0823C2D0,00001717,0823D9E8
302E8+0xD0,0823DCAC,0823DEAC,00001344,0823F1F0
302E8+0xE0,0823F48C,0823F68C,00000F2A,082405B8
302E8+0xF0,082407DC,082409DC,000012C5,08241CA4
302E8+0x100,08241F64,08242164,000014C1,08243628
302E8+0x110,00000000,082451B8,00000000,00000000
302E8+0x120,082451B8,082453B8,0000105C,08246414
302E8+0x130,0824663C,0824683C,00000F6C,082477A8
302E8+0x140,082479DC,08247BDC,000013D4,08248FB0
302E8+0x150,0825A83C,0825AA3C,000014EA,0825BF28
302E8+0x160,08249228,08249428,00000FFA,0824A424
302E8+0x170,0824A684,0824A884,00001773,0824BFF8
302E8+0x180,0824C2D8,0824C4D8,00001379,0824D854
302E8+0x190,0824DA90,0824DC90,00000EEE,0824EB80
302E8+0x1A0,0824EDA8,0824EFA8,0000123B,082501E4
302E8+0x1B0,08250494,08250694,00001434,08251AC8
302E8+0x1C0,08251D5C,08251F5C,000016DC,08253638
302E8+0x1D0,082538D0,08253AD0,0000141F,08254EF0
302E8+0x1E0,082551A4,082553A4,000014B1,08256858
302E8+0x1F0,08256B04,08256D04,00000C8E,08257994
302E8+0x200,08257B80,08257D80,0000114F,08258ED0
302E8+0x210,08259158,08259358,0000125D,0825A5B8
302E8+0x220,00000000,0825C21C,00000000,00000000
302E8+0x230,0825C21C,0825C41C,000012A5,0825D6C4
302E8+0x240,0825D924,0825DB24,0000110A,0825EC30
302E8+0x250,0825EE94,0825F094,0000154A,082605E0
302E8+0x260,08273640,08273840,00001439,08274C7C
302E8+0x270,08260880,08260A80,00001309,08261D8C
302E8+0x280,08262028,08262228,000016F0,08263918
302E8+0x290,08263BF0,08263DF0,00001587,08265378
302E8+0x2A0,082655E8,082657E8,00001414,08266BFC
302E8+0x2B0,08266EA0,082670A0,000011B8,08268258
302E8+0x2C0,08268504,08268704,00001617,08269D1C
302E8+0x2D0,08269FF0,0826A1F0,00001833,0826BA24
302E8+0x2E0,0826BCC8,0826BEC8,000016EA,0826D5B4
302E8+0x2F0,0826D870,0826DA70,000014B1,0826EF24
302E8+0x300,0826F1C4,0826F3C4,00000C68,0827002C
302E8+0x310,08270214,08270414,000015F5,08271A0C
302E8+0x320,08271D28,08271F28,00001469,08273394
